Sweet Spot,Mask Function,FID
1,cosine,39.59609057271024
5,cosine,39.59609057271024
10,cosine,39.59115144293597
15,cosine,40.378521181309736
20,cosine,40.590683859594606
25,cosine,41.774785246869925
30,cosine,42.33344050769165
1,linear,39.59609057271024
5,linear,40.552288004780024
10,linear,42.100055501093266
15,linear,43.36301257847032
20,linear,44.30914143076711
25,linear,44.250830395061996
30,linear,45.77728272243061
1,square,39.59609057271024
5,square,39.59609057271024
10,square,39.59609057271024
15,square,40.2196396988403
20,square,40.51411959461342
25,square,41.62585768889133
30,square,41.60344528254947
